2017-12-29 11:44:57.6239 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2017-12-29 11:44:57.6684 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2017-12-29 11:44:58.2936 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2017-12-29 11:45:17.2645 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | message_id:258 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1514537117 message:/d 

2017-12-29 11:45:17.6846 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /d 

2017-12-29 11:45:17.6846 | DeeBeeTeeDB.DBAPI.Command_details | DEBUG | Поиск пользователя 'Infom' 

2017-12-29 11:45:17.7026 | DeeBeeTeeDB.DBAPI.SearchUser | TRACE | UserSearchSQL: System.Data.SqlClient.SqlCommand 

2017-12-29 11:45:17.7905 | DeeBeeTeeDB.DBAPI.GetUserBalance | TRACE | GetUserBalanceSQL: System.Data.SqlClient.SqlCommand 

2017-12-29 11:45:17.8747 | DeeBeeTeeDB.DBAPI.GetUserDetails | TRACE | GetUserDetailsSQL: System.Data.SqlClient.SqlCommand 

2017-12-29 11:45:17.9580 | DeeBeeTeeDB.DBAPI.GetUserDetails | TRACE | Generate dbt from: Infom to: Sergeiaf amount: -425,00  

2017-12-29 11:45:17.9631 | DeeBeeTeeDB.DBAPI.GetUserDetails | TRACE | Generate dbt from: Infom to: TretyakRoman amount: 0,00  

2017-12-29 11:45:17.9631 | DeeBeeTeeDB.DBAPI.Command_details | INFO | Возврат результата команды details с сообщениемДетали пользователя @Infom. Баланс: -425,00
 @Infom должен 425,00 @Sergeiaf
 

2017-12-29 12:00:10.2554 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2017-12-29 12:00:10.3181 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2017-12-29 12:00:10.9472 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2017-12-29 12:00:10.9693 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | New HTTP request: https://api.telegram.org/bot481905442:AAF69M-Qmaa6w5lTpot3j8a-TR8_mHdNqO4/getupdates?offset=1 

2017-12-29 12:00:11.3656 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | HTTP response: {"ok":true,"result":[]} 

2017-12-29 12:00:11.3656 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | New HTTP request: https://api.telegram.org/bot481905442:AAF69M-Qmaa6w5lTpot3j8a-TR8_mHdNqO4/getupdates?offset=1 

2017-12-29 12:00:11.4457 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | HTTP response: {"ok":true,"result":[]} 

2017-12-29 12:00:11.4497 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | New HTTP request: https://api.telegram.org/bot481905442:AAF69M-Qmaa6w5lTpot3j8a-TR8_mHdNqO4/getupdates?offset=1 

2017-12-29 12:00:11.5257 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | HTTP response: {"ok":true,"result":[]} 

2017-12-29 12:00:11.5307 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | New HTTP request: https://api.telegram.org/bot481905442:AAF69M-Qmaa6w5lTpot3j8a-TR8_mHdNqO4/getupdates?offset=1 

2017-12-29 12:00:11.6051 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | HTTP response: {"ok":true,"result":[]} 

