2018-01-10 17:26:34.8800 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 3 

2018-01-10 17:26:34.8800 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 4 

2018-01-10 17:26:34.8800 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 5 

2018-01-10 17:26:34.8941 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 6 

2018-01-10 17:26:34.8941 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  6 

2018-01-10 17:27:10.6148 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-01-10 17:27:10.6701 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-01-10 17:27:11.1192 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-01-10 17:27:11.4739 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-01-10 17:27:11.4739 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:316 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515593652 message:'/t @Infom 400 @Infom @Boris' 

2018-01-10 17:27:11.8887 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:27:11.8947 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Infom @Boris' 

2018-01-10 17:27:11.8947 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:27:11.8947 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:27:11.9107 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | Search in '@Infom @Boris ' 

2018-01-10 17:27:11.9107 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 0 

2018-01-10 17:27:11.9107 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  0 

2018-01-10 17:27:11.9257 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 1 

2018-01-10 17:27:11.9257 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 2 

2018-01-10 17:27:11.9257 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 3 

2018-01-10 17:27:11.9257 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 4 

2018-01-10 17:27:11.9437 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 5 

2018-01-10 17:27:11.9437 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 6 

2018-01-10 17:27:11.9437 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 7 

2018-01-10 17:27:11.9567 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  7 

2018-01-10 17:27:11.9567 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 8 

2018-01-10 17:27:11.9567 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 9 

2018-01-10 17:27:11.9567 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 10 

2018-01-10 17:27:11.9748 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 11 

2018-01-10 17:27:11.9748 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 12 

2018-01-10 17:27:11.9748 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 13 

2018-01-10 17:27:11.9908 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  13 

2018-01-10 17:27:11.9908 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | add user  'Boris' 

2018-01-10 17:27:11.9908 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 14 

2018-01-10 17:27:54.3205 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-01-10 17:27:54.3705 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-01-10 17:27:54.8348 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-01-10 17:27:55.2085 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

